Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002889;;75010;11;3;privé;REHABILITATION_IMMEUBLE;consolidation des fondation et création d'une voute de soutènement du batiment.;26 rue du faubourg Saint-Martin.;du 34 au 18 emprise sur le couloir de bus.;2025-07-17;2026-06-30;RESTREINTE;Renvoi des cyclistes et des bus et taxis en circulation générale.;2;2;;"{""coordinates"": [[[2.356337582008719, 48.87020629264757], [2.3561043848894347, 48.869807619183554], [2.3560709760600944, 48.86987591340828], [2.356266136596326, 48.87022336281125], [2.356337582008719, 48.87020629264757]]], ""type"": ""Polygon""}";48.870031249723084, 2.3561974276080986
CP002894;;75017;9;2;CPCU;ENTRETIEN_RESEAU;;rue des Epinettes .;depuis Bd Bessières au 5 rue des Epinettes.;2025-08-18;2026-12-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.3241339389983473, 48.89739036290299], [2.324183156198688, 48.89736378873706], [2.3242162236794894, 48.8973263828354], [2.323446053070936, 48.89641980314378], [2.323396767956338, 48.89645174739061], [2.3241510660118596, 48.89732601514368], [2.3241339389983473, 48.89739036290299]]], ""type"": ""Polygon""}";48.89688752416774, 2.3238069390139255
CP002927;;75005;12;2;Fraicheur de Paris;RACCORDEMENT_RESEAU;;Boulevard de l'Hopital;entre le boulevard Saint Marcel et la place Valhubert;2025-09-30;2025-12-05;RESTREINTE;Sens Saint Marcel vers Valhubert réduit à une voie de circulation (2 en situation normale);1;2;;"{""coordinates"": [[[2.3618378466866976, 48.83994874830582], [2.3617564235163444, 48.83995368489969], [2.364006213568127, 48.84294638893346], [2.3640715001056685, 48.8429306239495], [2.363911527427045, 48.84270420556589], [2.3618378466866976, 48.83994874830582]]], ""type"": ""Polygon""}";48.841444948688114, 2.3629204531842793
CP002908;;75020;10;1;STV;REFECTION_CHAUSSEE;;rue du repos-rue pierre bayle-contre allée de charonne;;2025-08-18;2025-11-07;SENS_UNIQUE;;1;2;;"{""coordinates"": [[[2.3904426807212746, 48.85865684901716], [2.390523692009949, 48.85868948521073], [2.390639769988185, 48.85850747672353], [2.390534342656655, 48.858474717152355], [2.3904426807212746, 48.85865684901716]]], ""type"": ""Polygon""}";48.85857891637947, 2.390537315992507
CP002928;;;14;3;OPÉRA BASTILLE;TRAVAUX_OUVRAGE;Levage et travaux;rue de Lyon;de la rue BIscornet à la place de la Bastille;2026-01-26;2026-02-05;RESTREINTE;Restriction de  3 voies à 1 voie (bus et circulation générale);1;1;;"{""coordinates"": [[[[2.3698542977798644, 48.85188376835926], [2.37008832422502, 48.85140644023976], [2.3700879464895035, 48.85140567110239], [2.3700270610466805, 48.85139326682988], [2.369840583082612, 48.85150372466675], [2.369689866947495, 48.851853363900965], [2.3698542977798644, 48.85188376835926]]], [[[2.37008832422502, 48.85140644023976], [2.370089932318523, 48.85140970976236], [2.3700900134704916, 48.851402996514054], [2.37008832422502, 48.85140644023976]]]], ""type"": ""MultiPolygon""}";48.85164430425998, 2.3698815478479522
CP002940;;75013;14;1;Mission vélo;REAMENAGEMENT_VOIRIE;travaux d'aménagement;rue de l'Amiral Mouchez;au niveau du carrefour Bd Kellermann;2025-11-07;2025-12-12;BARRAGE_TOTAL;la rue de l'amiral Mouchez accès riverain et vélo;1;2;;"{""coordinates"": [[[2.3443054229226123, 48.81976278753415], [2.3442866520057737, 48.819800280547184], [2.344391786360691, 48.81984785151588], [2.3446383087013554, 48.81956589412607], [2.344699666936486, 48.819537362052856], [2.3445281948280097, 48.81951023940223], [2.3443533093418627, 48.81951196614339], [2.3443436707088994, 48.819550852024136], [2.3442454979385805, 48.819596636325585], [2.3442073862803166, 48.81963603697829], [2.3442964257937726, 48.81975065410633], [2.3443054229226123, 48.81976278753415]]], ""type"": ""Polygon""}";48.81964636510817, 2.3444198784227677
CP000139;;75013;14;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01;2025-12-31;RESTREINTE;Réduction de la circulation selon les phases;2;4;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv opé SEG11 BEC Bruneseau - 13ème.pdf;"{""coordinates"": [[[2.386040410939928, 48.82726045950963], [2.389009733862189, 48.82510049591564], [2.381913601308459, 48.82268480304111], [2.3797250134650096, 48.824789551026136], [2.382560534273686, 48.82574947645586], [2.386040410939928, 48.82726045950963]]], ""type"": ""Polygon""}";48.824945580960076, 2.384284439827768
CP002915;903467;75011;10;1;;REAMENAGEMENT_VOIRIE;Aménagement piétons/vélos;Avenue parmentier;entre la place Léon Blum et la rue Faubourg du temple;2025-03-10;2025-11-28;SENS_UNIQUE;toute la durée du chantier;1;2;;"{""coordinates"": [[[2.3747495287542613, 48.865131594639564], [2.3747631280391297, 48.865119060504746], [2.3761193970494516, 48.8633431146354], [2.377358800992997, 48.86180284858965], [2.3775558113520336, 48.86166423847709], [2.3788246146200174, 48.86038189493109], [2.3801474288398614, 48.85865942982262], [2.380547537987558, 48.85786665586532], [2.380255442448125, 48.8577899553033], [2.3784513744486024, 48.860283287201845], [2.3768526286746545, 48.86192910718643], [2.374457143086473, 48.86507636076912], [2.3747495287542613, 48.865131594639564]]], ""type"": ""Polygon""}";48.86121840722787, 2.3777626743085785
CP002935;;75015;13;2;R.T.E;INSPECTION_ENTRETIEN_RESEAU;;198 -- 206 rue de la Croix Nivert;;2025-11-07;2025-12-12;RESTREINTE;fermeture du sens sortant aux voitures,vélos,poids lourds. Déviation mise en place.;1;2;;"{""coordinates"": [[[2.2890381987082447, 48.838426480398816], [2.2890136456132315, 48.838437075662114], [2.289362372913216, 48.83851970917088], [2.289242977436759, 48.838325653698874], [2.289428244641306, 48.83726872000366], [2.2893632355107165, 48.83726296364352], [2.2892025186648186, 48.83830930103795], [2.2890381987082447, 48.838426480398816]]], ""type"": ""Polygon""}";48.83799505111319, 2.289274262448886
CP002833;;75017;10;3;RAZEL;TRAVAUX_OUVRAGE;;Boulevard Berthier;Depuis la porte d'Asnières a l'avenue de Clichy;2025-03-31;2025-11-24;RESTREINTE;Fermeture de la piste cyclable et piétons .Renvoi des vélos en circulation générale et les piétons sur le trottoir opposé coté pair.;1;2;;"{""coordinates"": [[[[2.3050361269469595, 48.890338924698106], [2.304832262760248, 48.890236583987125], [2.304766253674492, 48.890300645720146], [2.306356314907314, 48.89107247288665], [2.307206049279605, 48.89148017652753], [2.3090185368917764, 48.892374089001216], [2.3104593043713493, 48.89305101573879], [2.312294995100871, 48.89373824747683], [2.3135147080688294, 48.89419904853011], [2.3136052503040734, 48.89412706671102], [2.311299301405611, 48.89327603777879], [2.310525382432195, 48.89298157977431], [2.3050361269469595, 48.890338924698106]], [[2.304868623054299, 48.89025827642901], [2.3050361269469595, 48.890338924698106], [2.3056331809555504, 48.89063864505026], [2.304868623054299, 48.89025827642901]]]], ""type"": ""MultiPolygon""}";48.89233170224288, 2.309185130791831
CP002884;;75010;11;3;SNCF;CREATION_ENTRETIEN_OUVRAGE_ART;;rue de la Fayette du 168 au 178;;2025-07-21;2027-03-30;BARRAGE_TOTAL;"fermeture de la rue sauf BUS.
renvoi de vélos sur la rue de l'Aqueduc.";1;2;;"{""coordinates"": [[[2.3619090613310663, 48.880652744649474], [2.3619342774348246, 48.88058843390482], [2.358825555206695, 48.87978236322253], [2.358792458956887, 48.87982515063557], [2.3619090613310663, 48.880652744649474]]], ""type"": ""Polygon""}";48.88023383674407, 2.3604477837174476
CP002901;;75013;14;3;BOUYGUES;REHABILITATION_IMMEUBLE;;105 quai d'Austerlitz;;2025-09-29;2027-04-01;RESTREINTE;;2;2;;"{""coordinates"": [[[2.36559516853624, 48.84342744354709], [2.3657819780119227, 48.84345528716761], [2.366143699930703, 48.84315107721605], [2.366079393557941, 48.84308628827873], [2.36559516853624, 48.84342744354709]]], ""type"": ""Polygon""}";48.843290055443894, 2.3658842475634936
CP002905;;75015;13;2;RATP;TRAVAUX_OUVRAGE;Ouverture de la circulation et emprise sur trottoir;Avenue Ernest Renan;Du boulevard Victor à l'entré du Périphérique;2025-08-31;2026-02-28;RESTREINTE;Emprise à proximité de la chaussé et chaussée réduite;2;4;;"{""coordinates"": [[[2.2852143193230483, 48.830813244821826], [2.287341953129402, 48.83227604709559], [2.2874405222522, 48.8322068148342], [2.2852756943208203, 48.83078675796947], [2.2852143193230483, 48.830813244821826]]], ""type"": ""Polygon""}";48.831600840119194, 2.286437328873212
CP002645;;75010;11;3;SNCF;CREATION_ENTRETIEN_OUVRAGE_ART;"Création d'un passage piéton souterrain.
gare du nord-gare de l'est.";rue Lafayette et rue de l'Aqueduc;;2024-09-16;2027-02-02;RESTREINTE;"Itinéraire préconisé cyclable sur la rue de l'Aqueduc en BIDI provisoire.
Travaux impactant la circulation générale sens GDN boulevard de Stalingrad.";1;4;;"{""coordinates"": [[[2.3588276949569953, 48.879758300471934], [2.359736827877476, 48.879988726512586], [2.359744903028915, 48.87999414050632], [2.3597490073106195, 48.879991477052315], [2.3597862745284504, 48.87994065637803], [2.3588569856897044, 48.879694011228295], [2.3588276949569953, 48.879758300471934]]], ""type"": ""Polygon""}";48.87984282429404, 2.359292274047231
CP002649;;75012;14;1;Fayolle;REAMENAGEMENT_VOIRIE;;;Place Félix Eboué.;2024-08-01;2025-12-31;RESTREINTE;Plusieurs voies réduites pour la circulation et création de voies cyclables provisoires le temps des travaux. fermeture 3 Nuits du 21/10 et 22/10 et 23/10 de 21h à 6h sauf secours;1;4;;"{""coordinates"": [[[2.395466747299581, 48.84010052209265], [2.3966265139160634, 48.83971969025336], [2.397375254949208, 48.839701981542916], [2.397361093570681, 48.83951930757824], [2.3970034932857303, 48.8394852813882], [2.3967946992897926, 48.839247919781215], [2.397661800578051, 48.83884411943166], [2.397501075133948, 48.83867144831366], [2.3958502085414652, 48.839307601531864], [2.3962517692855934, 48.83976076461167], [2.3960725330410964, 48.83978134197787], [2.395403031195249, 48.83998204567209], [2.395466747299581, 48.84010052209265]]], ""type"": ""Polygon""}";48.839379679853586, 2.39662252961462
CP002807;;75008;9;3;O.G.I.C;REHABILITATION_IMMEUBLE;Création d'une base vie.;Oreille rue de Provence, rue de rome, Bld Haussamnn;;2025-03-24;2026-09-14;;"base vie stationnée entre les balisées pour maintenir une giration bus et pompier.
R + 5 la base vie.";2;2;;"{""coordinates"": [[[2.326057145562662, 48.874104342812146], [2.3260419568159576, 48.87401967082219], [2.326107710656712, 48.87397170690998], [2.325926484779523, 48.87397739919874], [2.325876475252415, 48.874067074010576], [2.325979265972518, 48.874145525746336], [2.326057145562662, 48.874104342812146]]], ""type"": ""Polygon""}";48.87404821223789, 2.3259813854514197
CP002699;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Réduction de la voirie par GBA et K8 pour la gestion des flux VL PL de la base vie au 79 et report d;81 - 83 Boulevard de Strasbourg;en face du terminus pour la gestion des VL PL;2024-11-17;2025-11-14;RESTREINTE;;2;2;;"{""coordinates"": [[[2.357801294574197, 48.8756825415542], [2.357771889654093, 48.87559108509271], [2.3577739664994275, 48.875587739915886], [2.357703615375249, 48.875598103224895], [2.357714329620317, 48.87563709653034], [2.357801294574197, 48.8756825415542]]], ""type"": ""Polygon""}";48.875627858833006, 2.357752906252346
CP002863;;75019;10;2;D.J.S;REHABILITATION_IMMEUBLE;réhabilitation du bain douche Petitot;12 rue des Fêtes;;2025-01-06;2026-01-29;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.3921660560696516, 48.8763936434663], [2.392414293341034, 48.876576157590634], [2.392422435373046, 48.87657619891501], [2.3926554089871725, 48.87649682442139], [2.392627179444, 48.87647385616693], [2.392549521216933, 48.876500314362396], [2.392492499843984, 48.87650271040584], [2.3922848132317944, 48.87633382841666], [2.3921660560696516, 48.8763936434663]]], ""type"": ""Polygon""}";48.87646337009393, 2.3923728976166165
CP002944;;75015;13;;;REAMENAGEMENT_VOIRIE;aménagement et végétalisation de la rue;rue de Dantzig;entre le bd Lefebvre et la rue des Périchaux_;2025-11-12;2026-02-27;;Neutralisation d'une file de circulation = voie entrante dans Paris entre le bd Lefebvre et la rue des Périchaux (à rejoindre via rue J. Dupré)_;2;2;;"{""coordinates"": [[[2.295713844776425, 48.82995392214566], [2.296331884039942, 48.83087327498557], [2.2964219776103034, 48.83082815352474], [2.295795367364934, 48.82994097537267], [2.295713844776425, 48.82995392214566]]], ""type"": ""Polygon""}";48.83042101173876, 2.296080646014851
CP002512;811445;75015;13;3;TS DIAMOND SCI;REHABILITATION_IMMEUBLE;Réhabilitation de la Tour Cristal;Quai André Citroën;Au niveau du 5 - 11 Quai André Citroën et du 1 - 5 rue de l'ingénieur Keller;2023-06-12;2025-12-31;RESTREINTE;Traversée piétonne obligatoire et provisoire au 1 rue de l'ingénieur Keller et dévié au 13 quai André Citroën car fermé au n°11.;2;2;;"{""coordinates"": [[[2.281629017580763, 48.848167721158354], [2.2809547819492324, 48.848428993424186], [2.280955960900329, 48.84847421247658], [2.2813863093462023, 48.848773055081715], [2.281435374632081, 48.84874479495245], [2.281112215455314, 48.848516793846976], [2.2811186070266922, 48.84844544517538], [2.281649960204181, 48.84821781831717], [2.281629017580763, 48.848167721158354]]], ""type"": ""Polygon""}";48.84843637487578, 2.2812529587641186
CP002700;;75007;12;3;Musée d'Orsay;REHABILITATION_IMMEUBLE;Deux chantiers de réhabilitation de bâtiments publics pour le musée d'Orsay et le conseil d'état.;Quai Voltaire;aux n°29-31;2024-10-01;2026-08-01;RESTREINTE;Réduction du quai Voltaire à une voie de circulation dans le sens Est/Ouest;1;2;;"{""coordinates"": [[[2.3296417394036775, 48.85934551403987], [2.3296896728372563, 48.8594156009651], [2.3301842120362175, 48.859251881289445], [2.3300244401126555, 48.85901736512524], [2.329987574561423, 48.8590359560642], [2.330091444456793, 48.85918691450391], [2.3296376697601486, 48.859345491242436], [2.3296417394036775, 48.85934551403987]]], ""type"": ""Polygon""}";48.85926763703709, 2.329935695831666
CP002756;;75013;14;1;Mission vélo;REAMENAGEMENT_SECTEUR;;Place Nationale.;;2025-01-13;2026-03-06;RESTREINTE;Dépose des bordures pour une Giration optimal et renvoie des vélos dans la circulation générale rue du Château des Rentiers jusqu'à la rue Clisson.;2;4;;"{""coordinates"": [[[2.3653195531326756, 48.829182891520944], [2.3654069385954037, 48.82902088995605], [2.3651556153347357, 48.82895107972939], [2.365053896917337, 48.82912106070628], [2.3653195531326756, 48.829182891520944]]], ""type"": ""Polygon""}";48.829069102306285, 2.365232422484482
CP002805;;75008;9;3;O.G.I.C;REHABILITATION_IMMEUBLE;emprise sur chaussée pour les travaux du bâtiment.;61-59 boulevard Haussmann;;2024-09-14;2026-09-14;RESTREINTE;une voie neutralisée du 63 au 59 boulevard Haussmann.;2;2;;"{""coordinates"": [[[2.3255799606595655, 48.87394872257568], [2.3260804103165564, 48.873890451670796], [2.3260804450601995, 48.873887766438315], [2.326071710713824, 48.87385482301812], [2.325574236929854, 48.87391915241691], [2.3255799606595655, 48.87394872257568]]], ""type"": ""Polygon""}";48.87390229794389, 2.3258347373474058
CP002698;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;;81 - 83 boulevard de Strasbourg;Report du terminus RATP.;2024-11-17;2025-11-14;RESTREINTE;;;2;;"{""coordinates"": [[[2.3576288525738427, 48.87571853853108], [2.3576624688576153, 48.87571603350194], [2.3576046034687477, 48.87553916730126], [2.3575719891477216, 48.875543020398716], [2.3575760504195533, 48.875543713997494], [2.3576288525738427, 48.87571853853108]]], ""type"": ""Polygon""}";48.87563107014458, 2.3576185481744227
CP002892;;75005;12;1;SAGP;REAMENAGEMENT_SECTEUR;"Végétalisation et agrandissement du trottoir 
coté paire .";Rue Guy Lussac;à partir du croisement de la rue du Saint Jacque jusqu'à l'angle de la rue Claude Bernard;2025-08-04;2025-11-28;SENS_UNIQUE;Rue mises en sens unique à compté de 25/08/2025 jusqu' au fin de travaux 28/11/2025;1;2;;"{""coordinates"": [[[2.3425710463299794, 48.84307439922253], [2.3426766141646382, 48.84309109141764], [2.34343256570177, 48.84153774745258], [2.3433393408755627, 48.84151038163471], [2.3433270684382435, 48.84151568526991], [2.3425710463299794, 48.84307439922253]]], ""type"": ""Polygon""}";48.842300054626904, 2.34300402784611
CP002943;;75014;12;1;SAGP;REAMENAGEMENT_VOIRIE;;Avenue du Maine - rue du commandant René Mouchotte.;;2025-10-30;2025-10-24;SENS_UNIQUE;fermeture du CF plus de tourne a gauche et droite.;2;2;;"{""coordinates"": [[[2.321675784769798, 48.840287806394635], [2.321715921935137, 48.84032965670343], [2.321807205400836, 48.840348971938724], [2.3219187950451885, 48.84005824370684], [2.3217805928395, 48.84004940458787], [2.3217765072346586, 48.84005072417928], [2.321780557896886, 48.840052089900944], [2.321675784769798, 48.840287806394635]]], ""type"": ""Polygon""}";48.84019395600798, 2.321794576795384
CP002947;;75019;10;3;DGSE 93;REAMENAGEMENT_VOIRIE;;avenue Jean Jaures place Auguste Baron;;2025-12-08;2026-12-15;RESTREINTE;;2;1;;"{""coordinates"": [[[2.3894525175311045, 48.90126136524721], [2.3896536655301195, 48.90147451999827], [2.389805110937839, 48.901410847028416], [2.389591430259004, 48.90122448118655], [2.3896813128579453, 48.90120077204787], [2.389604875573512, 48.90111982759675], [2.389343531229202, 48.90117756935937], [2.3894525175311045, 48.90126136524721]]], ""type"": ""Polygon""}";48.9012847253114, 2.3895846532850067
CP002441;671912;75010;11;3;APHP Lariboisière;CONSTRUCTION_IMMEUBLE;Hôpital Lariboisière;Rue de Maubeuge;Emprise située du n° 111 au n° 119;2022-10-10;2026-06-03;RESTREINTE;"Emprise sur chaussée + trottoir impair
Circulation restante : 2 x 3ml";2;2;;"{""coordinates"": [[[2.3548154074086916, 48.882758481941224], [2.3547448071349977, 48.882778327386305], [2.355374654334728, 48.88392268022739], [2.3554557692244136, 48.883927876177694], [2.3548154074086916, 48.882758481941224]]], ""type"": ""Polygon""}";48.88334292681566, 2.3550956528458444
CP001421;;75016;13;3;Maison de la Radio;REHABILITATION_IMMEUBLE;installation de la base vie;Rue  Boullainvilliers;du n°2 au n°10;2019-07-01;2025-12-31;RESTREINTE;Modification des files de circulation .;2;4;;"{""coordinates"": [[[2.2780879687731894, 48.85165200691028], [2.278005620021255, 48.85160986774178], [2.276937983388899, 48.852153100104196], [2.277031015931084, 48.852204823391524], [2.2772035373126718, 48.85224512825188], [2.2772770162585245, 48.85214682034601], [2.2773646538731667, 48.85206763380218], [2.2774974768795366, 48.85198039195424], [2.277631837054627, 48.851912196037745], [2.2778039222536837, 48.8518537456313], [2.2779865439626774, 48.85181558521849], [2.2779745338979853, 48.851771490754125], [2.2780323708879635, 48.85176113104939], [2.2781821795556927, 48.85174894738235], [2.2780879687731894, 48.85165200691028]]], ""type"": ""Polygon""}";48.851920958050805, 2.277550787213821
CP002770;;75015;13;1;SAGP;REAMENAGEMENT_SECTEUR;Création d'un  contre sens cyclable avec végétalisation.;rue de la Croix Nivert;Depuis la place de Cambronne jusqu'à la rue de Javel.;2025-01-07;2025-12-31;SENS_UNIQUE;Fermeture du sens de circulation depuis la place Cambronne vers rue de Javel, l'interdiction sera définitive après les travaux.;1;2;;"{""coordinates"": [[[2.30107716544652, 48.84767996532617], [2.30125718630457, 48.84760582737718], [2.297951429311868, 48.84533078821131], [2.297791736577201, 48.84510428197808], [2.29836476538674, 48.84484985077138], [2.297646436128524, 48.84501749822138], [2.29642070422552, 48.84419395092224], [2.295362817930295, 48.84299542895726], [2.2949924756104707, 48.84270322963651], [2.2915181612710294, 48.84089962825697], [2.2913692335794273, 48.841081350557815], [2.294215911883107, 48.84236566668603], [2.294845297369228, 48.84275606883295], [2.295889506520134, 48.84376116932343], [2.296886384465611, 48.84465856828866], [2.297643830636183, 48.84521082767744], [2.30107716544652, 48.84767996532617]]], ""type"": ""Polygon""}";48.84409559011973, 2.296293191211883
